old_scheme_id,old_name,new_name
3586,PAKISTAN CHUBA PWSS,Burhakuri Dakhin PWSS
8387,BAMUN BARI PWSS,TENGAPUKHURI PWSS
8445,HABI GAON PWSS (NAPUKHURI),HABI GAON(NAPUKHURI)
8482,URISSA NAGAR PWSS,NEW BAULIPUKHURI PWSS
8484,BAKUPUKHURI HABI CHUK PWSS,MATHURAPUR 4 NO. LINE PWSS
8488,PATHAL DUBI PWSS,MAIBELA BAGAN PWSS
9452,Uttar Burihkamar Agdia PWSS,Uttar Burikhamar PWSS
9483,KUMULI PARA KHANDAKARPARA PWSS,GAREMARI HAZIPARA PWSS
9526,Palhazi Pt. II PWSS,PALHAZI PT.II
9528,Palhazi Pt. Ill PWSS,PALHAZI PT.III
9604,RANDHI KHAITI PWSS,Lakhi Pathar PWSS
10048,BANBAHAR DAKHIN SUBA MINI PWSS,Banbahar Dakhin Suba PWSS
10051,KUJARPITH MINI PWSS,Kujarpith Pt. PWSS
10061,BALAR VITHA DAKHIN SUBA MPWSS,Balar Vitha Dakhin Suba PWSS
10102,BALIPARA PAM PWSS,Balipara PWSS
10140,TINGRAI DOOM GAON PWSS,TINGRAI KORIBORTA GAON PWSS
10215,MUNANI PWSS,MURHANI PWSS
10283,NAMRUP CHAH BAGICHA WEST OF R PT 2 PWSS,NAMRUP CHAH BAGICHA TINIKUNIA PWSS
10440,PURBA ALADI Pt. PWSS,Purba Aladi PWSS
10480,SARIMAKUCHI PWSS,Sarihakuchi PWSS
10510,MILEKUCHI Pt. II PWSS,MILEKUCHI PT-2
10511,MILEKUCHI Pt. I PWSS,MILEKUCHI PT-1
10536,Uttar Moinbari-2 PWSS,Pachim Moinbori PWSS
10537,Tanpara PWSS,Pachim Moinbori Pt MPWSS
10540,Mominpur PWSS,Motinpur PWSS
10572,Murha Teteli PWSS,Khalihamari West PWSS
10844,Buragaon T.E PWSS,Barjuli Bazar PWSS
11018,ALI CHIGA  PWSS,ALI CHIGA (SIVASAGAR) WSS
11427,Muslim Gaon PWSS,Madhya Barika Chuburi PWSS
11474,Upper Gereki MPWS,New Chatai Chapori MPWSS
11518,Ambuk Pt-I PWSS,Abmuk Hakojuli PWSS
11887,Balipukhuri PWSS,No. 2 Dolabari PWSS
11943,Arimara Pathar PWSS,Bahbari No.3 PWSS
12067,KENDUGURI NO.2 PWSS,KENDUGURI NO. 2 & SESANEPALI PWSS
12099,NAMATIA GOHAIN BONGALI GAON PWSS,Namatia Gohain Bongali Gaon
12177,HAJUA PATHER NO 1 PWSS,RAMPUR GAON PWSS
12233,Churatonibam PWSS,Churatonibam No.1 PWSS
12278,Merpukhuri PWSS,Pachim Chuba PWSS
12491,Bijaypur Baguan PWSS,Bijoypur Bongaon PWSS
12983,TOPLAKHOWA PWSS,Sardarpara Baguan PWSS
13315,TARAIBARI (Bodahpur) PWSS,Watregri PWSS
13841,KANKATA PT-II (Simlitola) PWSS,Fakirpara pukhuripara PWSS
14448,Kataki Chuburi PWSS,Bahbari No.2 PWSS
14532,CHARARIKATA NO 1 PWSS,CHALAKATAKI NO 1 PWSS
14803,Balijan PWSS,Balijan PWSS (NO.2)
14914,Anuboicha PWSS,Anuboicha-Baligaon PWSS
15010,BORCHALA MISSING CHUBURI PWSS,Borchala Muslim Chuburi PWSS
15069,DIKHARI 119 NO FS 144-107 NLR PWSS,Dikhari 119 No. FS 144-107 NLR PWSS
15332,MONMARI GAON NO 2 PWSS,MOHMARI GAON NO 2 PWSS
15350,JALONI 274 NLR PWSS,Jaloni 274 NLR PWSS
15385,Jaipur Seed Firm WSS,New Chalang Pathar PWSS
15518,Chengapara Dhangapara PWSS,Gosbiya PWSS
15881,Moran (CT) Pt.7 PWSS,Moran (CT) Pt.7 PWSS
15966,Borphukan Khat  PWSS ,No-2 Borphukankhat PWSS
15970,Torani Udaypur PWSS,No.1 Tarani PWSS
15971,Buralikson Solar Operated Mini PWSS ,Buralikson Mini PWSS
15982,Anka Gaon Solar Operated  PWSS ,Moluahabi PWSS
16362,NO. 1 MORISUTI (RANGATI) PWSS,No 1 Morisuti PWSS
16552,Kulabil Mornoi PWSS,Kulabil Mornoi Nepali PWSS
16569,Nunghungia No.3 PWSS,Hunghungia No.3 PWSS
16571,TEPORCHAL BAMGAON PWSS,TEPORCHALI BAMGAON PWSS
16848,Habi Gaon (Wrong),HABI GAON(SUKAFA)
16870,RANGAGARAH NO.1 PWSS,Sologuri No.1 PWSS
17097,GHUGULONI BONGALI PWSS,Ghuguloni Bongali PWSS
17154,Muslim. Chuburi.. PWSS,NO 1 Muslim Chuburi PWSS
17248,Chariakhat Bagan,Bebejia Likchan PWSS
17509,JAMUGURI PWSS,Jamuguri No.1 PWSS
17522,Na Mile Nepali Basti PWSS,Na Mile PWSS
17887,Chipahibari WSS,Townhulla PWSS
17892,No I Kacharigaon Kachuani Hola WSS,Da-Gaon PWSS
17950,FESUAL SVS,Fatual PWSS
18040,Turi Line Pwss,Borchapori Pwss
18207,SABOKDHARA SVS,Tirual Gaon No-3 PWSS
18447,Harchura TE PWSS,New Harchura PWSS
18775,KALABIL THAILOO CHA BAGICHA W.S.S,Borthal Kalabil & Thailu Cha PWSS
19371,No. 2 Tarajuli PWSS,No. 1 Dhendai TE PWSS
19419,SARUPETA TOWN PWSS,Sarupeta Town Pt PWSS
19474,LEPETKATTA TE PWSS,LEPETKATA T.E. PWSS
19475,LEPETKATA T.E. NO. 1 PWSS,LEPETKATA T.E. NO 1 PWSS
19685,Bharali Suba PWSS,Tihulabari Kaibatra PWSS
19704,Bekijan PWSS,Pachim Datkola
19734,No.1 Bortamuli  pwss,No.2 Bortamuli
19803,12 NO. CHUBURI PWSS,Singimari Bazar Dakhin Chuk PWSS
19909,ARORA PART-II PWSS,Arora PWSS
20072,NAMATI PART-I A PWSS,Namati Part-I (A) PWSS
20085,BARMURIKONA PWSS,Barmurikona-I PWSS
20091,Gualhati Â PWSS,Nijeswari PWSS
20095,Medhipar PWSS,Aggumi No.2 New PWSS
20097,Lochana PWSS,Kochpara Lochana PWSS
20098,SANTIPUR PWSS,Senimara PWSS
20104,Hatimura PWSS,Puranbari PWSS
20108,Uttar Suba  PWSS,Uttar Karaibill PWSS
20111,Dighaldoba  PWSS,Salmara PWSS
20114,Salmara  PWSS,Nowapara No.1 PWSS
20115,Nowapara Kathalguri  PWSS,Nalzuhi Pathar PWSS
20117,Maghu Bilar Pathar  PWSS,Khetrapara PWSS
20118,Lohikata  PWSS,Kaltoli Pathar PWSS
20119,Khetrapara  PWSS,Kalardia No.1 PWSS
20120,Kaltoli Pathar  PWSS,Kalardia PWSS
20121,Dakshin Suba  PWSS,Maghu Bilar Pathar PWSS
20124,Deuridoba  PWSS,Chaudhurypara PWSS
20125,Dekradiatup  PWSS,Batahdia PWSS
20126,Chaudhurypara  PWSS,Bhugedia No.-2 PWSS
20127,Batahdia  PWSS,2 No Bala Gaon PWSS
20128,Bhugedia No.-2  PWSS,Bhugedia No.-1 PWSS
20206,AJARTOLI PWSS,JADUPATHAR BALIGHAT PWSS
20210,2 No Bala Gaon  PWSS,1 No Bala Gaon PWSS
20233,Bhugedia No.-1 PWSS,Tekeliphuta PWSS
20236,SONAPUKHURI PWSS,Sonapukhuri Mini PWSS
20239,1 No Bala Gaon  PWSS,Tapar Pathar PWSS
20248,Ambari Pam  PWSS,Kandulimari No.1 PWSS
20281,KACHARI PAM NO. 3 PWSS,KACHARI PAM NO. 3 PWSS
20290,Maugatari PWSS,Alikah PWSS
20320,Palpara PWSS,Shantipur PWSS
20348,Baregaon PWSS,Bongaon Buri PWSS
20360,Tilapahar PWSS,Khatira PWSS
20367,Deor Ali PWSS,Kaharpara PWSS
20374,Lochana PWSS,Dharampur PWSS
20387,Pathaldhia PWSS,Garobasti PWSS
20392,Kaltali PWSS,Kalatoli No.1 PWSS
20396,Merganda PWSS,Pub Mergenda PWSS
20413,LARSING PWSS,Duri Killing Rongkimi PWSS
20423,KHOLAPHIANG PWSS,Kholalapheng Part A PWSS
20437,Barkhal N.C. PWSS,Dhelasar New PWSS
20443,Palahartari No. III SVS,Palahartari khutirpar
20444,Nadhia Para No. 1 PWSS,Sapartari New PWSS
20450,Kakijan 1 PWSS,SARKEY BASTI GP 1 PWSS
20455,Masjid Area PWSS,JANJU CAMP PWSS
20460,Deeben Gaon 1-2 PWSS,NAKHUTI GP 1 PWSS
20463,Hanpara PWSS,Membasti PWSS
20484,PUNNIPARA SVS,New Mandira Pathar
20494,BARPUKHURI KACHARIGAON PWSS,NARAYANPUR PWSS
20507,Merganda PWSS,Mergenda No. 1 PWSS
20514,Kachari Gaon PWSS,DAKHIN LUMDING GP 2 PWSS
20532,Kandpur PWSS,Gorabori PWSS
20536,Bamunpara  PWSS,Koitasidhi PWSS
20539,Dakshin Suba  PWSS,Uttar Tukura Para PWSS
20550,Barkukuria  PWSS,Boratoli PWSS
20554,Kalardia  PWSS,Majgumi Puthimari PWSS
20561,Madhav Dev Nagar PWSS,KATAURA PWSS
20569,Chanpupara Pathar  PWSS,Saralpara PWSS
20575,Narasingha Patti Mini PWSS,NEW AMBARI FV PWSS
20604,PURAN GAON NO. 3 PWSS,PURAN GAON NO. 3 PWSS
20677,TERON GAON(SEDENG TERANG)PWSS,Jirikinding Terang Gaon PWSS
20696,NEPALI BOSTI PWSS,Kholalapheng Part B PWSS
20706,BIRINGA ATI PWSS,Gerjaipam Gaonbura Basti PWSS
20715,BADLA PATHAR NO. 3 PWSS,Rangeswari Pam Pwss
20733,Tarapara PWSS,Borgaon Para-Haldipara PWSS
20805,SUMER PATHAR(LANGPARPAN) PWSS,Lang Long Dang PWSS
20860,JENKHA RONGPI GAON PWSS,JENKHA NEPALI GAON PWSS
20864,KOMALONGJON PWSS,Koma Anglong PWSS
20882,LUMMUTEM PWSS,Lummujen PWSS
20918,Tisso Gaon PWSS,Notun Borghat 1 PWSS
20934,Longboi Ronghang Gaon PWSS,Longboi Boro PWSS
20981,"Kawaimari Zone II, Mir Ingku, Rongjamir PWSS","Kawaimari Zone II,Rongjamir PWSS"
20997,CHAKARIGAON PWSS,KOSUPIT PWSS
21010,"GOPCHARGURI,SANTIPUR DEWRI PWSS   ",Santipur Dewri PWSS
21041,NO 1 KAMDEWAL PWSS ,Ouguri PWSS
21047,MAJIKUCHI NO.1  PWSS,Majikuchi No.2 PWSS
21090,Miya Suba PWSS,Kekurijan No.2 PWSS
21103,UTTAR SALMARA  SVS,2 No. Jawkata Gaon PWSS
21141,Nagopara PWSS,Namborjuli PWSS
21203,Palashartari PWSS,Batakuchi PWSS
21232,NEW HAKARAPARA SVS,NEW HAKARAPARA SVS
21233,Nayapara PWSS,Nampara PWSS
21243,Besimari F.V PWSS,Kulsi PWSS
21251,EAST PARA PWSS,Banadh Market Chuburi PWSS
21280,Kakila Mazgaon PWSS,GojenPathar PWSS
21289,Bijaypur PWSS,No.2 Bijaypur PWSS
21316,GOSAIBORI 1 PWSS,Khaloigaon PWSS
21328,Ouguri PWSS,Natun Khatar PWSS
21367,BAGISANAGAR PWSS,No. 2 Bengenakhowa PWSS
21389,NA PAMUA PWSS,Bholaguri Abore Ghat PWSS
21435,Taradong Hanse PWSS,Langtuk Terang PWSS
21439,Chandra Terang PWSS,Chandra Terang PWSS
21446,JAMUGURI PWSS(NIZ HATICHUNG),JAMUGURI PWSS
21451,Gautam Basti Z-1 PWSS,Sobdoi Timung PWSS
21495,KARCHUNG SATRA PWSS,RAJA ALI PWSS
21508,LOTANPUR PWSS,Dineshpur PWSS
21509,ODALIPOTHAR SVS,Ganeshpur PWSS
21523,KENDUGURI NO. 1 PWSS,NEW KENDUGURI PWSS
21528,Japarajan PWSS,Ram Bd. Chetry Tila Basti PWSS
21534,KENDUGURI PWSS,Pachim Kenduguri PWSS
21538,Borlai Hanse PWSS,Wai Terang PWSS
21554,Tekela Teron PWSS,Saphasing terang PWSS
21557,Sikari Teron PWSS,Jiliki Basti PWSS
21562,Mul Khang PWSS,Saibol PWSS
21589,Haitha Tokbi PWSS,Hema Engti PWSS
21592,Ruipi Lonkso PWSS,Ruipilangso PWSS
21682,RAM LNGHI GAON PWSS,Preelangso PWSS
21685,NELI BARI NEPALI BASTI PWSS,Monsing Timung PWSS
21763,Harizon Basti Dikchamukh PWSS,Harinagar Bazar Tilla PWSS
21764,Moina Dhar (Madhura) PWSS,Tupidhar PWSS
21808,BHUYAN CHUK PWSS,Bhuyan Chuk PWSS
21850,Sobdoi  Timung PWSS,Guatam Basti Z-1 PWSS
22003,Gobin Rongphar PWSS,Rongdo PWSS
22005,Longkiram Hanse PWSS,Narep Timung PWSS
22008,Tekela Teron (Borjan)  PWSS,Sarthe Kramsa PWSS
22011,LONGJAP JARONI PWSS,HATIPHANDI PWSS
22014,Khoken PWSS,Parlene Lekthe PWSS
22016,Mon Teron PWSS,Sikari Kathar PWSS
22019,Killing Gaon PWSS,Langtuk Kramsa PWSS
22029,MAICHAM  PWSS,Amdubi Borbill No.1 PWSS
22125,MIKIR PAR URIA PWSS,MIKIR PAR URIA PWSS
22127,MIKIRHAT PWSS,MIKIRHAT PWSS
22165,NIZ-JURIA PWSS,KAWAIMARI II
22183,OWANA PWSS,OWANA NO. 1 PWSS
22273,"GIRJAJYOTI,AMARJYOTI NO-3, BALIZAN PWSS",Amarjyoti PWSS
22283,Ampahar PWSS,Ampahar PWSS
22288,Tilku Basti PWSS,Tilku Basti PWSS
22289,Haldu Bagan PWSS,Mala Terang PWSS
22302,GARIGAON ALUTOLIA PWSS,Garigaon Alutolia PWSS
22333,PUKHURIPAR ( NIZ-HATICHUNG) PWSS,LAST GATE PWSS
22359,SANTIPUR PWSS,Majgaon PWSS
22370,SIMALUTOL PWSS,Gerjaipam Dakhinpar PWSS
22461,Kumbha Hanai Punjee PWSS,Nagar Engine Tukra PWSS
22462,Chanslu Punjee WSS,Muldam Punjee WSS
22463,Machkhal pt-V WSS,Gopendra Nagar PWSS
22576,Tataicherra Kumbha T.e. PWSS,Nagar 14 no. Nich Line
22577,Kashipur Das Tilla PWSS,NUTAN DOYAPUR CHALK WSS
22580,AKAI PUNJEE WSS,Uttar Digli WSS
22649,mission complex wss,Jirighat Old Colony wss
22656,Durganagar Barman Para PWSS,Nagar Basti Barmanpara PWSS
22664,Lailong Cherra WSS,Baroidisa Punjee WSS
22676,LADICHERRA TIN LINE WSS,Bahadurpur - II PWSS
22701,NUTAN DOYAPUR CHALK WSS,Kashipur Das Tilla PWSS
22727,aliacherra wss,Dewan Durga Mandap wss
22741,Diguncherra Grant WSS,Chandkira WSS
22758,Patradisha Kangki Engti PWSS,Patradisha Kangki Engti PWSS
22874,HILGRANT NO.2 PWSS,HILGRANT NO.2 NEW PWSS
22878,PUB SUBA & UTTAR SUBA OF  RANGIA NADIR PAM MPWSS,Rangia Nadir Pam (New) PWSS
22884,KAWAIMARIKARAGARI RESERVE BL -9 PWSS,KAWAIMARIKARAGARI RESERVE BL-9 PWSS
22888,DURAMANI NEW PWSS,Duramari NEW PWSS
22889,BAMUNDOKRA PWSS,Bamundongra (New) PWSS
22960,Kaimari Reserve Pt.III PWSS,Kaimari Reserve Pt.III PWSS
22985,CHAISHIMANA N.C. Pt.III PWSS,CHAISHIMANA N.C. Pt.II PWSS
